Episode 1 Step 25: Training Loss nan, Return 9.0
Episode 188 Step 11: Training Loss 0.0789768397808075, Return 17.0
Episode 189 Step 16: Training Loss 0.08916892111301422, Return 18.0
Episode 190 Step 28: Training Loss 0.08483213186264038, Return 18.0
Episode 191 Step 15: Training Loss 0.0830233246088028, Return 13.0
Episode 192 Step 13: Training Loss 0.0953623354434967, Return 13.0
Episode 193 Step 14: Training Loss 0.08978589624166489, Return 16.0
Episode 194 Step 13: Training Loss 0.07692248374223709, Return 12.0
Episode 195 Step 16: Training Loss 0.09520246088504791, Return 12.0
Episode 196 Step 12: Training Loss 0.08562993258237839, Return 12.0
Episode 197 Step 15: Training Loss 0.08273991197347641, Return 17.0
Episode 198 Step 16: Training Loss 0.09773794561624527, Return 18.0
Episode 199 Step 15: Training Loss 0.08529149740934372, Return 17.0
Episode 200 Step 22: Training Loss 0.08420691639184952, Return 12.0
Episode 201 Step 11: Training Loss 0.08769789338111877, Return 18.0
Episode 202 Step 11: Training Loss 0.08031178265810013, Return 15.0
Episode 203 Step 15: Training Loss 0.0974942073225975, Return 18.0
Episode 204 Step 14: Training Loss 0.08800560235977173, Return 16.0
Episode 205 Step 16: Training Loss 0.09225024282932281, Return 18.0
Episode 206 Step 14: Training Loss 0.08960690349340439, Return 14.0
Episode 207 Step 18: Training Loss 0.08703293651342392, Return 16.0
Episode 208 Step 22: Training Loss 0.1017441526055336, Return 14.0
Episode 209 Step 14: Training Loss 0.09218821674585342, Return 16.0
Episode 210 Step 15: Training Loss 0.09646786004304886, Return 13.0
Episode 211 Step 18: Training Loss 0.09612349420785904, Return 15.0
Episode 212 Step 15: Training Loss 0.09986329078674316, Return 17.0
Episode 213 Step 14: Training Loss 0.08405299484729767, Return 15.0
Episode 214 Step 18: Training Loss 0.09532810747623444, Return 15.0
Episode 215 Step 18: Training Loss 0.10762861371040344, Return 13.0
Episode 216 Step 17: Training Loss 0.08862445503473282, Return 14.0
Episode 217 Step 13: Training Loss 0.10443393141031265, Return 18.0
Episode 218 Step 19: Training Loss 0.09561662375926971, Return 143.0
Episode 219 Step 17: Training Loss 0.10724420845508575, Return 17.0
Episode 220 Step 17: Training Loss 0.09415992349386215, Return 15.0
Episode 221 Step 157: Training Loss 0.09832384437322617, Return 301.0
Episode 222 Step 18: Training Loss 0.10571078956127167, Return 14.0
Episode 223 Step 69: Training Loss 0.09503278136253357, Return 219.0
Episode 224 Step 162: Training Loss 0.09968875348567963, Return 108.0
Episode 225 Step 49: Training Loss 0.11429793387651443, Return 126.0
Episode 226 Step 48: Training Loss 0.09249892830848694, Return 167.0
Episode 227 Step 121: Training Loss 0.09576055407524109, Return 262.0
Episode 228 Step 169: Training Loss 0.09862077981233597, Return 202.0
Episode 229 Step 49: Training Loss 0.09549329429864883, Return 180.0
Episode 230 Step 258: Training Loss 0.10234597325325012, Return 211.0
Episode 231 Step 272: Training Loss 0.1007663756608963, Return 262.0
Episode 232 Step 223: Training Loss 0.10079262405633926, Return 310.0
Episode 233 Step 255: Training Loss 0.09530361741781235, Return 213.0
Episode 234 Step 325: Training Loss 0.10176987946033478, Return 462.0
Episode 235 Step 254: Training Loss 0.10078125447034836, Return 371.0
Episode 236 Step 274: Training Loss 0.10292026400566101, Return 369.0
Episode 237 Step 144: Training Loss 0.10992782562971115, Return 259.0
Episode 238 Step 243: Training Loss 0.09512237459421158, Return 274.0
Episode 239 Step 369: Training Loss 0.10622867941856384, Return 425.0
Episode 240 Step 334: Training Loss 0.11726739257574081, Return 368.0
Episode 241 Step 371: Training Loss 0.11309148371219635, Return 220.0
Episode 242 Step 477: Training Loss 0.11388035118579865, Return 301.0
Episode 243 Step 500: Training Loss 0.12873432040214539, Return 500.0
Episode 244 Step 280: Training Loss 0.13870863616466522, Return 289.0
Episode 245 Step 339: Training Loss 0.13709144294261932, Return 380.0
Episode 246 Step 500: Training Loss 0.1582256704568863, Return 500.0
Episode 247 Step 429: Training Loss 0.15696947276592255, Return 457.0
Episode 248 Step 358: Training Loss 0.16318319737911224, Return 500.0
Episode 249 Step 424: Training Loss 0.18412506580352783, Return 396.0
Episode 250 Step 500: Training Loss 0.19113630056381226, Return 500.0
Episode 251 Step 497: Training Loss 0.1944548487663269, Return 414.0
Episode 252 Step 442: Training Loss 0.19687682390213013, Return 490.0
Episode 253 Step 408: Training Loss 0.21415093541145325, Return 500.0
Episode 254 Step 500: Training Loss 0.22601623833179474, Return 500.0
Episode 255 Step 395: Training Loss 0.2283664345741272, Return 462.0
Episode 256 Step 420: Training Loss 0.22786952555179596, Return 500.0
Episode 257 Step 500: Training Loss 0.2590808570384979, Return 500.0
Episode 258 Step 500: Training Loss 0.27362245321273804, Return 413.0
Episode 259 Step 478: Training Loss 0.29923754930496216, Return 297.0
Episode 260 Step 454: Training Loss 0.2727968096733093, Return 334.0
Episode 261 Step 500: Training Loss 0.29589369893074036, Return 406.0
Episode 262 Step 494: Training Loss 0.2931315004825592, Return 455.0
Episode 263 Step 391: Training Loss 0.3384250998497009, Return 421.0
Episode 264 Step 446: Training Loss 0.35227322578430176, Return 500.0
Episode 265 Step 435: Training Loss 0.40396133065223694, Return 500.0
Episode 266 Step 434: Training Loss 0.34714359045028687, Return 484.0
Episode 267 Step 478: Training Loss 0.3618471920490265, Return 500.0
Episode 268 Step 433: Training Loss 0.36844685673713684, Return 455.0
